,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.10,10.51,7.04,2.77,2.3,1.43,1.84,3.42,4.61,6.14,1.9,7.9,18.92
Expenses,9.96,10.27,6.83,2.59,2.22,1.3,1.69,3.42,5.18,6.11,2.31,7.81,19.61
Operating Profit,0.14,0.24,0.21,0.18,0.08,0.13,0.15,0.0,-0.57,0.03,-0.41,0.09,-0.69
OPM %,1.39,2.28,2.98,6.5,3.48,9.09,8.15,0.0,-12.36,0.49,-21.58,1.14,-3.65
Other Income,0.04,-0.02,0.08,0.08,0.16,0.09,0.07,0.2,0.03,0.12,0.58,0.05,0.05
Interest,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.00
Depreciation,0.18,0.17,0.26,0.22,0.19,0.17,0.15,0.13,0.13,0.1,0.13,0.12,0.40
Profit before tax,0.00,0.04,0.02,0.03,0.04,0.04,0.06,0.07,-0.69,0.04,0.04,0.02,-1.04
Tax %,,0.0,50.0,33.33,50.0,25.0,33.33,28.57,0.0,25.0,0.0,50.0,
Net Profit,0.00,0.04,0.01,0.02,0.02,0.03,0.04,0.05,-0.69,0.03,0.04,0.01,-1.03
EPS in Rs,0.00,0.02,0.01,0.01,0.01,0.02,0.02,0.03,-0.35,0.02,0.02,0.01,-0.52
