,2023-09-01
Depreciation,0.29
EPS in Rs,0.28
Expenses,15.6
Interest,1.12
Net Profit,0.69
OPM %,11.31
Operating Profit,1.99
Other Income,0.38
Profit before tax,0.96
Sales,17.59
Tax %,29.17
