,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.95,4.95,4.95,4.95,4.95,17.33,24.75
Reserves,38.89,38.61,38.38,38.12,39.33,30.7,37.37
Borrowings,49.65,43.7,46.09,48.87,52.31,52.61,49.35
Other Liabilities,50.44,46.5,45.63,28.66,17.18,20.49,18.78
Total Liabilities,143.93,133.76,135.05,120.6,113.77,121.13,130.25
Fixed Assets,34.55,33.41,29.85,27.92,27.32,26.47,26.12
CWIP,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001
Investments,0.71,0.71,0.71,0.71,0.71,0.03,0.03
Other Assets,108.67,99.64,104.49,91.97,85.74,94.03,103.5
Total Assets,143.93,133.76,135.05,120.6,113.77,121.13,130.25
