,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,33.64,24.01,22.94,30.52,34.08,42.32
Expenses,35.38,23.56,20.86,27.67,31.01,37.81
Operating Profit,-1.74,0.45,2.08,2.85,3.07,4.51
OPM %,-5.17,1.87,9.07,9.34,9.01,10.66
Other Income,6.55,3.68,0.82,-0.18,1.43,3.65
Interest,3.71,3.12,1.87,1.88,1.79,1.9
Depreciation,1.08,0.86,0.8,0.64,0.58,0.65
Profit before tax,0.02,0.15,0.23,0.15,2.13,5.61
Tax %,2550.0,93.33,78.26,80.0,29.58,28.34
Net Profit,-0.49,0.01,0.05,0.03,1.5,4.03
EPS in Rs,-0.99,0.02,0.1,0.06,3.03,2.33
