,2021-11-01,2022-11-01,2023-03-01
Debtor Days,139.51,215.71,
Inventory Days,16.3,117.85,
Days Payable,18.26,117.85,
Cash Conversion Cycle,137.56,215.71,
Working Capital Days,137.92,225.71,
ROCE %,,3.61,
