,2023-09-01
Depreciation,0.17
EPS in Rs,0.55
Expenses,17.73
Interest,0.46
Net Profit,0.43
OPM %,6.04
Operating Profit,1.14
Other Income,0.04
Profit before tax,0.55
Sales,18.87
Tax %,23.64
