,2021-11-01,2022-11-01,2023-03-01
Sales,18.34,11.32,22.25
Expenses,17.42,10.65,19.85
Operating Profit,0.92,0.67,2.4
OPM %,5.02,5.92,10.79
Other Income,0.11,0.05,0.38
Interest,0.66,0.34,0.52
Depreciation,0.40,0.07,0.33
Profit before tax,-0.03,0.31,1.93
Tax %,66.67,35.48,25.39
Net Profit,-0.01,0.2,1.44
EPS in Rs,,0.37,2.69
