,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.05,0.01,0.04,0.12,0.18,1.27,1.24,1.39,1.18,2.24,9.15,18.03
Expenses,0.03,0.04,0.03,0.04,0.09,0.14,0.58,1.39,1.39,0.64,1.03,8.09,16.32
Operating Profit,0.01,0.01,-0.02,0.00,0.03,0.04,0.69,-0.15,0.00,0.54,1.21,1.06,1.71
OPM %,25.00,20.00,-200.00,0.00,25.00,22.22,54.33,-12.1,0.00,45.76,54.02,11.58,9.48
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.0,0.04,0.0,0.01
Interest,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.04,0.00,0.0,0.0,1.34,2.12
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.01,0.56,0.76
Profit before tax,0.01,0.01,-0.02,0.00,0.02,0.00,0.64,-0.1,0.00,0.54,1.24,-0.84,-1.16
Tax %,0.00,0.00,0.00,,50.00,,26.56,0.0,,11.11,14.52,34.52,
Net Profit,0.01,0.01,-0.02,0.00,0.01,0.00,0.48,-0.1,0.00,0.49,1.05,-0.55,-0.71
EPS in Rs,,,,,,,,-0.32,0.00,1.56,3.34,-1.75,-2.26
