,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.03,31.25,0.28,1.55,33.8,25.91,18.3,14.24,6.21,5.84,5.21,7.05,8.24
Expenses,0.22,25.02,2.3,1.4,28.69,23.91,16.81,12.06,7.06,6.51,6.09,7.49,8.23
Operating Profit,-0.19,6.23,-2.02,0.15,5.11,2.0,1.49,2.18,-0.85,-0.67,-0.88,-0.44,0.01
OPM %,-633.33,19.94,-721.43,9.68,15.12,7.72,8.14,15.31,-13.69,-11.47,-16.89,-6.24,0.12
Other Income,0.01,0.11,0.92,0.2,0.22,0.22,4.88,8.47,0.04,2.47,3.1,0.25,1.51
Interest,0.88,0.66,0.75,0.75,0.7,0.67,0.35,0.38,0.63,0.73,0.67,0.47,0.38
Depreciation,0.54,0.69,0.34,0.47,0.48,0.48,0.46,0.46,0.47,0.47,0.29,0.44,0.44
Profit before tax,-1.6,4.99,-2.19,-0.87,4.15,1.07,5.56,9.81,-1.91,0.6,1.26,-1.1,0.7
Tax %,0.0,0.0,-53.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-1.6,4.99,-3.37,-0.88,4.15,1.07,5.56,9.8,-1.91,0.6,1.27,-1.1,0.69
EPS in Rs,-3.23,10.06,-6.79,-1.77,8.37,2.16,11.21,19.76,-3.85,1.21,2.56,-2.22,1.39
