,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96
Reserves,2.14,1.83,-1.01,-17.34,-29.67,-37.79,-39.62,-41.37,-31.47,-21.71,-22.11
Borrowings,35.67,45.76,58.89,59.27,60.83,61.18,48.5,48.89,30.66,31.6,32.07
Other Liabilities,27.04,24.43,20.16,28.74,28.51,28.45,32.92,30.03,42.67,27.16,25.2
Total Liabilities,69.81,76.98,83.0,75.63,64.63,56.8,46.76,42.51,46.82,42.01,40.12
Fixed Assets,14.43,12.88,11.72,46.54,47.48,44.96,39.98,36.25,35.04,33.15,32.74
CWIP,19.96,22.08,33.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,35.42,41.43,37.08,27.09,17.15,11.84,6.78,6.26,11.78,8.86,7.38
Total Assets,69.81,76.98,83.0,75.63,64.63,56.8,46.76,42.51,46.82,42.01,40.12
