,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,144.21,122.9,105.85,57.65,37.44,28.68,11.8,31.58,79.56,31.69,26.34
Expenses,143.03,121.76,106.73,68.99,49.72,33.9,15.63,26.73,70.82,31.9,28.32
Operating Profit,1.18,1.14,-0.88,-11.34,-12.28,-5.22,-3.83,4.85,8.74,-0.21,-1.98
OPM %,0.82,0.93,-0.83,-19.67,-32.8,-18.2,-32.46,15.36,10.99,-0.66,-7.52
Other Income,7.5,6.32,3.93,3.79,4.4,0.55,8.63,-0.09,5.52,14.07,7.33
Interest,5.97,5.9,4.77,6.98,2.5,1.1,4.19,3.23,2.46,2.41,2.25
Depreciation,1.93,1.29,1.12,2.2,2.43,2.5,2.36,2.11,1.89,1.69,1.64
Profit before tax,0.78,0.27,-2.84,-16.73,-12.81,-8.27,-1.75,-0.58,9.91,9.76,1.46
Tax %,0.0,74.07,0.0,0.0,0.0,0.0,0.0,-201.72,0.0,0.0,
Net Profit,0.78,0.07,-2.84,-16.72,-12.8,-8.27,-1.75,-1.75,9.91,9.76,1.46
EPS in Rs,152.94,0.14,-5.73,-33.71,-25.81,-16.67,-3.53,-3.53,19.98,19.68,2.94
