,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.2,5.78,9.98,11.52,12.41
Expenses,2.93,5.22,6.28,7.87,8.86
Operating Profit,0.27,0.56,3.7,3.65,3.55
OPM %,8.44,9.69,37.07,31.68,28.61
Other Income,0.36,0.38,0.05,0.2,0.32
Interest,0.26,0.33,0.25,0.23,0.37
Depreciation,0.34,0.59,0.52,0.39,0.56
Profit before tax,0.03,0.02,2.98,3.23,2.94
Tax %,0.0,0.0,29.19,26.63,
Net Profit,0.04,0.02,2.11,2.37,2.16
EPS in Rs,0.4,0.2,21.1,4.39,4.00
