,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.61,6.3,5.22,7.19
Expenses,2.86,4.39,3.51,5.35
Operating Profit,1.75,1.91,1.71,1.84
OPM %,37.96,30.32,32.76,25.59
Other Income,0.04,0.02,0.18,0.14
Interest,0.14,0.1,0.1,0.27
Depreciation,0.25,0.19,0.19,0.37
Profit before tax,1.4,1.64,1.6,1.34
Tax %,29.29,26.83,26.88,26.12
Net Profit,0.99,1.2,1.17,0.99
EPS in Rs,9.9,3.02,2.17,1.83
