,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.19,18.48,27.96
Expenses,0.27,0.4,17.75,27.27
Operating Profit,-0.27,-0.21,0.73,0.69
OPM %,,-110.53,3.95,2.47
Other Income,1.95,1.95,2.06,2.36
Interest,0.17,0.02,0.01,0.02
Depreciation,0.00,0.0,0.0,0.04
Profit before tax,1.51,1.72,2.78,2.99
Tax %,9.93,9.3,11.51,
Net Profit,1.36,1.57,2.46,2.71
EPS in Rs,1.77,2.04,3.2,3.53
