,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,0.00,23.11
Inventory Days,,,0.00
Days Payable,,,
Cash Conversion Cycle,,0.00,23.11
Working Capital Days,,7933.95,85.72
ROCE %,,9.92,14.50
