,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.01,0.00,0.19,0.19,2.85,7.53,7.92,6.21,6.3
Expenses,0.06,0.04,0.04,0.25,0.11,2.73,7.21,7.71,6.06,6.29
Operating Profit,-0.06,-0.03,-0.04,-0.06,0.08,0.12,0.32,0.21,0.15,0.01
OPM %,,-300.0,,-31.58,42.11,4.21,4.25,2.65,2.42,0.16
Other Income,0.24,0.33,0.08,0.78,0.59,1.24,0.17,0.1,1.3,0.79
Interest,0.00,0.0,0.00,0.02,0.0,0.0,0.0,0.01,0.0,0.01
Depreciation,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Profit before tax,0.18,0.3,0.04,0.7,0.67,1.36,0.49,0.3,1.45,0.75
Tax %,0.00,0.0,0.00,20.0,8.96,5.15,26.53,20.0,4.83,2.67
Net Profit,0.18,0.3,0.04,0.56,0.61,1.29,0.36,0.24,1.38,0.73
EPS in Rs,0.23,0.39,0.05,0.73,0.79,1.68,0.47,0.31,1.8,0.95
