,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
FIIs,0.0,0.23,1.29,1.07,0.78,0.69,0.63,0.87
DIIs,15.32,15.25,12.09,12.84,12.91,12.94,12.8,13.04
Public,9.68,9.52,11.62,11.09,11.31,11.37,11.59,11.09
No. of Shareholders,6413.0,6275.0,7649.0,8039.0,8604.0,14767.0,13872.0,14144.0
