,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-06-01,2017-06-01,2018-06-01,2019-06-01,2020-06-01,2021-06-01,2022-06-01,2023-06-01
Equity Capital,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,280,294,311,340,355,372,417,497,528,551,624,666
Borrowings,0,0,0,0,0,0,0,10,13,0,0,3
Other Liabilities,131,104,96,117,130,144,199,226,124,191,184,160
Total Liabilities,432,420,430,478,507,537,638,755,687,765,830,851
Fixed Assets,131,126,114,101,107,146,154,184,247,225,215,275
CWIP,11,13,5,6,16,3,21,67,32,52,77,34
Investments,1,1,0,0,0,51,0,0,2,2,0,0
Other Assets,290,282,310,371,383,338,462,504,406,486,538,542
Total Assets,432,420,430,478,507,537,638,755,687,765,830,851
