,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,83.74,870.77,233.79,168.56,46.2,126.52,344.38,271.96,618.04
Expenses,82.28,759.63,181.09,164.46,54.36,119.18,247.43,208.6,632.46
Operating Profit,1.46,111.14,52.7,4.1,-8.16,7.34,96.95,63.36,-14.42
OPM %,1.74,12.76,22.54,2.43,-17.66,5.8,28.15,23.3,-2.33
Other Income,7.66,8.32,14.13,7.44,9.52,9.03,22.1,11.27,24.79
Interest,8.35,2.59,5.79,3.27,4.83,5.78,22.08,6.51,6.74
Depreciation,0.83,0.83,0.92,0.82,0.87,1.12,1.83,1.43,1.63
Profit before tax,-0.06,116.04,60.12,7.45,-4.34,9.47,95.14,66.69,2.0
Tax %,-1533.33,23.8,33.45,43.36,-5.53,38.54,22.18,30.26,-108.5
Net Profit,-0.97,88.42,40.01,4.22,-4.58,5.82,74.04,46.51,4.17
EPS in Rs,0.03,8.97,4.2,0.48,-0.48,0.47,6.73,4.12,0.38
