,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,19.0,16,33,33
Inventory Days,3791.0,5193,,
Days Payable,380.0,555,,
Cash Conversion Cycle,3431.0,4653,33,33
Working Capital Days,612.0,532,501,890
ROCE %,,18,9,5
