,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,100,100,100,114,114
Reserves,327,701,833,1556,1618
Borrowings,2514,1220,1563,1030,613
Other Liabilities,1474,1633,1382,1816,1502
Total Liabilities,4415,3654,3877,4515,3846
Fixed Assets,195,29,33,39,38
CWIP,0,0,0,0,0
Investments,5,595,575,642,346
Other Assets,4215,3029,3268,3834,3462
Total Assets,4415,3654,3877,4515,3846
