,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1211.0,849.0,1269.0,686.0,1361
Expenses,1075.0,746.0,1092.0,582.0,1208
Operating Profit,136.0,102.0,178.0,104.0,153
OPM %,11.0,12.0,14.0,15.0,11
Other Income,57.0,329.0,34.0,44.0,67
Interest,128.0,140.0,23.0,36.0,41
Depreciation,2.0,2.0,3.0,5.0,6
Profit before tax,63.0,290.0,184.0,108.0,173
Tax %,77.0,20.0,26.0,26.0,
Net Profit,14.0,232.0,136.0,80.0,131
EPS in Rs,2.2,31.04,13.96,7.2,11.70
