,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,3.1,5.57,8.0
Reserves,0.0,0.15,1.27,5.0,35.15
Borrowings,6.6,7.23,5.13,4.77,0.01
Other Liabilities,1.82,0.34,4.75,8.79,39.78
Total Liabilities,8.43,7.73,14.25,24.13,82.94
Fixed Assets,0.06,0.03,0.23,0.32,0.27
CWIP,0.62,0.62,0.62,0.62,0.62
Investments,0.0,0.0,0.0,0.0,15.0
Other Assets,7.75,7.08,13.4,23.19,67.05
Total Assets,8.43,7.73,14.25,24.13,82.94
