,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.28,3.31,12.17,24.14,39.08
Expenses,5.51,2.47,9.4,14.47,26.21
Operating Profit,0.77,0.84,2.77,9.67,12.87
OPM %,12.26,25.38,22.76,40.06,32.93
Other Income,0.0,0.0,0.0,0.0,0.00
Interest,0.58,0.58,0.72,0.64,0.41
Depreciation,0.1,0.04,0.12,0.17,0.24
Profit before tax,0.09,0.22,1.93,8.86,12.22
Tax %,33.33,31.82,36.79,30.02,
Net Profit,0.06,0.15,1.22,6.21,8.26
EPS in Rs,60.0,150.0,3.94,11.15,12.70
