,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.63,11.02,15.42,14.44,16.58,12.14,17.18,17.75,18.34,18.81,19.12
Expenses,10.86,7.55,11.82,10.76,12.07,8.39,12.02,12.35,13.26,14.06,13.32
Operating Profit,2.77,3.47,3.6,3.68,4.51,3.75,5.16,5.4,5.08,4.75,5.8
OPM %,20.32,31.49,23.35,25.48,27.2,30.89,30.03,30.42,27.7,25.25,30.33
Other Income,0.78,0.15,0.97,0.39,0.52,0.45,0.29,0.28,0.41,0.57,0.48
Interest,0.75,0.65,0.75,0.7,0.78,0.72,0.93,1.09,1.18,1.2,1.2
Depreciation,1.77,1.87,1.8,1.83,2.05,2.51,2.54,2.6,2.81,3.27,3.41
Profit before tax,1.03,1.1,2.02,1.54,2.2,0.97,1.98,1.99,1.5,0.85,1.67
Tax %,37.86,30.91,27.72,21.43,32.27,27.84,29.29,29.15,91.33,40.0,41.32
Net Profit,0.65,0.76,1.46,1.21,1.48,0.7,1.39,1.4,0.13,0.5,0.98
EPS in Rs,0.69,0.83,1.55,1.19,1.6,0.7,1.54,1.4,0.31,0.54,1.03
