,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-11-01
Promoters,40.45,40.45,40.46,40.45,40.44,40.44,40.44,32.05
FIIs,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08
DIIs,0.87,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Public,58.59,59.26,59.45,59.46,59.45,59.45,59.46,67.87
No. of Shareholders,458.0,667.0,700.0,722.0,813.0,2137.0,1993.0,2757.0
