,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.42,9.42,9.47,10.15,10.16,10.16
Reserves,51.36,57.34,60.29,74.55,87.26,113.51
Borrowings,15.79,28.13,36.59,35.41,48.09,43.59
Other Liabilities,8.44,12.41,14.08,13.41,17.33,16.26
Total Liabilities,85.01,107.3,120.43,133.52,162.84,183.52
Fixed Assets,8.82,10.93,24.67,31.99,42.67,48.33
CWIP,5.11,6.06,3.08,3.78,5.05,0.0
Investments,10.93,8.56,5.14,5.62,11.72,10.65
Other Assets,60.15,81.75,87.54,92.13,103.4,124.54
Total Assets,85.01,107.3,120.43,133.52,162.84,183.52
