,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,62.76,57.95,41.57,57.46,65.4,74.02
Expenses,47.12,43.71,29.63,42.05,45.88,52.99
Operating Profit,15.64,14.24,11.94,15.41,19.52,21.03
OPM %,24.92,24.57,28.72,26.82,29.85,28.41
Other Income,0.79,0.97,0.98,1.86,1.43,1.74
Interest,1.83,1.85,3.32,3.02,4.06,4.67
Depreciation,4.04,3.72,5.5,7.64,10.46,12.09
Profit before tax,10.56,9.64,4.1,6.61,6.43,6.01
Tax %,29.64,32.68,37.07,29.65,43.7,
Net Profit,7.42,6.49,2.58,4.65,3.62,3.01
EPS in Rs,7.87,6.89,2.9,4.72,3.94,3.28
