,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.83,9.48,13.37,6.59,12.22,11.55,11.64,10.11,10.28,12.99,17.11,7.57,13.0
Expenses,6.5,8.79,12.9,6.84,11.81,10.7,10.32,9.33,9.62,12.33,16.35,7.75,12.21
Operating Profit,0.33,0.69,0.47,-0.25,0.41,0.85,1.32,0.78,0.66,0.66,0.76,-0.18,0.79
OPM %,4.83,7.28,3.52,-3.79,3.36,7.36,11.34,7.72,6.42,5.08,4.44,-2.38,6.08
Other Income,0.49,0.32,0.49,0.46,0.59,0.28,-0.26,0.22,0.3,0.31,0.33,0.25,0.27
Interest,0.72,0.63,0.56,0.46,0.51,0.44,0.45,0.36,0.34,0.4,0.53,0.38,0.42
Depreciation,0.37,0.31,0.32,0.3,0.31,0.3,0.31,0.3,0.34,0.33,0.32,0.28,0.29
Profit before tax,-0.27,0.07,0.08,-0.55,0.18,0.39,0.3,0.34,0.28,0.24,0.24,-0.59,0.35
Tax %,11.11,14.29,-612.5,25.45,27.78,28.21,26.67,29.41,32.14,29.17,45.83,23.73,34.29
Net Profit,-0.24,0.06,0.57,-0.42,0.12,0.28,0.22,0.24,0.19,0.17,0.12,-0.46,0.22
EPS in Rs,-0.43,0.11,1.02,-0.75,0.22,0.5,0.4,0.43,0.34,0.31,0.22,-0.83,0.4
