,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,54.28,38.97,31.86,41.52,49.88,50.67
Expenses,54.36,37.16,30.85,39.21,47.01,48.64
Operating Profit,-0.08,1.81,1.01,2.31,2.87,2.03
OPM %,-0.15,4.64,3.17,5.56,5.75,4.01
Other Income,1.16,1.31,1.63,1.07,1.15,1.16
Interest,2.9,2.78,2.56,1.85,1.63,1.73
Depreciation,1.5,1.44,1.31,1.23,1.29,1.22
Profit before tax,-3.32,-1.1,-1.23,0.3,1.1,0.24
Tax %,0.9,-2.73,43.09,20.0,33.64,
Net Profit,-3.28,-1.13,-0.71,0.25,0.73,0.05
EPS in Rs,-656.0,-2.03,-1.28,0.45,1.31,0.10
