,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,5.57,5.57,5.57,5.57,5.57
Reserves,51.24,44.59,44.02,44.33,45.09,44.84
Borrowings,23.24,21.52,18.7,16.76,15.48,18.48
Other Liabilities,13.78,11.83,7.75,4.37,6.1,5.05
Total Liabilities,88.31,83.51,76.04,71.03,72.24,73.94
Fixed Assets,18.5,17.09,15.8,14.92,14.35,14.2
CWIP,0.0,0.0,0.0,0.0,0.13,0.96
Investments,0.0,0.01,0.0,0.0,0.0,0.0
Other Assets,69.81,66.41,60.24,56.11,57.76,58.78
Total Assets,88.31,83.51,76.04,71.03,72.24,73.94
