,2006-03-01,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2023-03-01
Sales,68.0,68.0,67.0,69.0,52.0,28.0,161.0
Expenses,66.0,62.0,71.0,65.0,54.0,39.0,158.0
Operating Profit,3.0,7.0,-3.0,4.0,-2.0,-11.0,3.0
OPM %,4.0,10.0,-5.0,6.0,-4.0,-41.0,2.0
Other Income,4.0,1.0,4.0,2.0,0.0,5.0,1.0
Interest,3.0,4.0,0.0,6.0,5.0,0.0,3.0
Depreciation,3.0,3.0,3.0,3.0,3.0,3.0,2.0
Profit before tax,1.0,1.0,-3.0,-3.0,-10.0,-10.0,-1.0
Tax %,15.0,15.0,-3.0,-3.0,-0.0,0.0,0.0
Net Profit,1.0,1.0,-3.0,-3.0,-10.0,-10.0,-1.0
EPS in Rs,0.48,0.53,-1.84,-1.27,-3.94,-3.89,-0.54
