,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.35,12.76,12.3,11.7,10.22,10.01,8.46,7.65,3.0,0.4,1.07,0.68,0.75
Expenses,13.93,11.4,11.9,10.84,9.54,8.62,6.52,6.59,3.63,1.71,2.17,1.92,4.11
Operating Profit,1.42,1.36,0.4,0.86,0.68,1.39,1.94,1.06,-0.63,-1.31,-1.1,-1.24,-3.36
OPM %,9.25,10.66,3.25,7.35,6.65,13.89,22.93,13.86,-21.0,-327.5,-102.8,-182.35,-448.00
Other Income,0.32,0.63,0.58,0.72,0.48,0.75,1.24,0.64,2.93,0.47,0.6,1.02,6.97
Interest,0.21,0.13,0.01,0.04,0.03,0.21,0.76,0.84,0.61,0.57,0.71,0.73,0.67
Depreciation,0.58,0.5,0.42,0.23,0.23,0.42,1.86,1.86,1.85,1.84,1.79,1.66,1.34
Profit before tax,0.95,1.36,0.55,1.31,0.9,1.51,0.56,-1.0,-0.16,-3.25,-3.0,-2.61,1.60
Tax %,24.21,18.38,9.09,22.9,24.44,32.45,26.79,4.0,62.5,4.62,6.0,7.28,
Net Profit,0.72,1.1,0.5,1.02,0.67,1.02,0.41,-0.96,-0.06,-3.1,-2.82,-2.42,1.20
EPS in Rs,3.11,4.76,2.16,4.41,2.9,4.41,1.77,-4.15,-0.26,-13.4,-12.19,-10.46,5.19
