,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.56,47.56,64.11,81.61,170.94,191.91,170.65,107.24,182.24,82.83,61.04,42.02,53.58
Expenses,40.05,45.22,60.64,76.81,163.53,181.03,159.03,101.58,172.31,74.0,58.47,39.46,49.55
Operating Profit,-7.49,2.34,3.47,4.8,7.41,10.88,11.62,5.66,9.93,8.83,2.57,2.56,4.03
OPM %,-23.0,4.92,5.41,5.88,4.33,5.67,6.81,5.28,5.45,10.66,4.21,6.09,7.52
Other Income,0.1,0.05,0.61,0.02,2.28,0.96,0.72,0.77,0.87,2.4,1.4,0.41,0.42
Interest,0.56,0.4,0.43,0.39,0.45,0.19,0.03,0.12,0.41,0.01,0.04,0.03,0.04
Depreciation,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.17,0.17
Profit before tax,-8.17,1.77,3.44,4.23,9.04,11.45,12.11,6.11,10.2,11.03,3.73,2.77,4.24
Tax %,-0.12,28.25,-1.74,-0.47,5.75,13.62,13.13,25.7,22.25,25.02,41.02,24.19,23.82
Net Profit,-8.18,1.26,3.49,4.25,8.53,9.89,10.52,4.54,7.92,8.27,2.21,2.1,3.22
EPS in Rs,-7.74,1.19,3.3,4.02,8.07,9.35,9.95,4.29,7.49,7.82,2.09,1.99,3.05
