,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1591.0,1637.0,1874.0,1790.0,1359.0,2438.0,2712.0,2596
Expenses,1418.0,1513.0,1714.0,1629.0,1237.0,2130.0,2411.0,2365
Operating Profit,174.0,125.0,159.0,162.0,122.0,307.0,302.0,230
OPM %,11.0,8.0,8.0,9.0,9.0,13.0,11.0,9
Other Income,23.0,25.0,9.0,8.0,10.0,-5.0,-9.0,-10
Interest,64.0,63.0,67.0,69.0,49.0,48.0,54.0,53
Depreciation,73.0,77.0,81.0,81.0,81.0,70.0,79.0,83
Profit before tax,61.0,10.0,21.0,20.0,2.0,184.0,160.0,84
Tax %,13.0,-186.0,37.0,34.0,-113.0,24.0,18.0,
Net Profit,53.0,29.0,13.0,13.0,4.0,140.0,131.0,71
EPS in Rs,13.43,7.26,3.36,3.37,0.97,32.23,28.98,15.77
