,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,39,39,39,39,43,43,45,50
Reserves,453,472,481,488,509,647,815,917
Borrowings,708,787,707,648,590,610,826,933
Other Liabilities,228,281,306,266,267,523,474,494
Total Liabilities,1428,1580,1534,1441,1409,1824,2161,2395
Fixed Assets,655,700,648,616,590,602,725,919
CWIP,11,9,12,10,9,74,223,197
Investments,6,6,6,6,0,1,8,9
Other Assets,757,865,868,809,809,1147,1205,1270
Total Assets,1428,1580,1534,1441,1409,1824,2161,2395
