,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,19.73,22.48,27.6,34.37
Expenses,18.44,20.54,26.15,32.6
Operating Profit,1.29,1.94,1.45,1.77
OPM %,6.54,8.63,5.25,5.15
Other Income,0.28,0.34,0.4,1.19
Interest,0.04,0.02,0.02,0.04
Depreciation,0.31,0.27,0.23,0.23
Profit before tax,1.22,1.99,1.6,2.69
Tax %,22.13,28.14,25.0,25.65
Net Profit,0.95,1.42,1.19,2.0
EPS in Rs,21.44,32.05,26.86,2.82
