,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.26,3.1,0.14,4.1,6.02,6.96,5.98,5.79,5.35
Expenses,0.13,3.0,0.1,3.34,0.13,2.85,5.77,-4.12,5.53
Operating Profit,0.13,0.1,0.04,0.76,5.89,4.11,0.21,9.91,-0.18
OPM %,50.0,3.23,28.57,18.54,97.84,59.05,3.51,171.16,-3.36
Other Income,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.00,0.0
Interest,0.0,0.0,0.0,0.53,5.63,4.08,0.0,9.91,0.02
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0
Profit before tax,0.13,0.1,0.04,0.2,0.26,0.03,0.21,0.00,-0.2
Tax %,30.77,30.0,25.0,30.0,26.92,33.33,23.81,,0.0
Net Profit,0.1,0.07,0.03,0.14,0.19,0.01,0.16,0.00,-0.2
EPS in Rs,0.06,0.04,0.02,0.09,0.12,0.01,0.1,0.00,-0.13
