,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,160.29,147.66,118.31,81.74
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,160.29,147.66,118.31,81.74
Working Capital Days,100.17,92.59,92.67,87.49
ROCE %,,-6.20,21.18,19.88
