,2016-03-01,2017-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,28.09,29.95,30.07,22.48,30.06,36.15
Expenses,27.94,30.65,29.83,22.29,27.01,28.0
Operating Profit,0.15,-0.7,0.24,0.19,3.05,8.15
OPM %,0.53,-2.34,0.8,0.85,10.15,22.54
Other Income,-0.0,0.83,0.01,0.01,-0.0,-0.07
Interest,-0.0,-0.0,0.01,0.02,0.08,0.03
Depreciation,0.1,0.07,0.13,0.12,0.17,0.16
Profit before tax,0.05,0.06,0.11,0.06,2.8,7.89
Tax %,20.0,16.67,27.27,33.33,26.79,26.62
Net Profit,0.05,0.05,0.08,0.04,2.06,5.78
EPS in Rs,1.1,1.1,1.76,0.83,42.56,7.46
