,2016-03-01,2017-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.45,0.45,0.45,0.48,0.48,7.74,11.56
Reserves,7.31,7.32,6.53,6.63,8.32,6.77,21.14
Borrowings,2.07,0.11,0.24,0.0,0.13,1.78,0.45
Other Liabilities,1.73,3.76,3.41,3.09,3.91,5.16,1.42
Total Liabilities,11.56,11.64,10.63,10.2,12.84,21.45,34.57
Fixed Assets,2.61,2.71,1.77,1.57,1.45,1.85,1.8
CWIP,0.14,0.11,0.0,0.0,0.55,0.0,0.0
Investments,0.0,0.0,0.68,0.68,0.68,0.68,0.68
Other Assets,8.81,8.82,8.18,7.95,10.16,18.92,32.09
Total Assets,11.56,11.64,10.63,10.2,12.84,21.45,34.57
