,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.51,7.2,10.16,8.65,14.65,13.69,14.29,15.0,16.27,11.03,10.57,9.61,10.0
Expenses,4.69,6.78,9.22,7.73,12.79,12.8,13.47,14.6,14.97,10.89,9.09,9.51,8.74
Operating Profit,-0.18,0.42,0.94,0.92,1.86,0.89,0.82,0.4,1.3,0.14,1.48,0.1,1.26
OPM %,-3.99,5.83,9.25,10.64,12.7,6.5,5.74,2.67,7.99,1.27,14.0,1.04,12.6
Other Income,0.13,0.2,0.16,0.18,0.41,0.14,0.16,0.1,0.29,0.22,0.12,0.38,0.24
Interest,0.37,0.41,0.46,0.43,0.43,0.41,0.36,0.41,0.39,0.42,0.45,0.48,0.44
Depreciation,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.24,0.24
Profit before tax,-0.69,-0.06,0.37,0.4,1.57,0.35,0.35,-0.19,0.92,-0.34,0.87,-0.24,0.82
Tax %,10.14,-33.33,0.0,7.5,21.02,11.43,20.0,10.53,14.13,8.82,5.75,8.33,17.07
Net Profit,-0.62,-0.08,0.37,0.36,1.23,0.31,0.28,-0.16,0.79,-0.31,0.83,-0.22,0.69
EPS in Rs,-2.24,-0.29,1.34,1.3,4.45,1.12,1.01,-0.58,2.86,-1.12,3.0,-0.8,2.5
