,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,757,796,1232,2201,2201,2414,2415,2416,2418,2599.0
Reserves,1056,1921,5378,6337,7311,10162,11327,13076,17893,22167.0
Preference Capital,1158,1738,0,0,0,0,0,0,0,
Borrowings,14815,23012,33215,44516,56324,55966,53044,58425,84738,99190.0
Other Liabilities,3014,4312,38316,40502,43633,44978,57698,66897,75304,82017.0
Total Liabilities,19642,30042,78141,93556,109470,113520,124485,140815,180353,205972.0
Fixed Assets,284,314,778,837,892,1181,1259,1305,1279,1489.0
CWIP,8,11,35,33,34,74,45,45,44,13.0
Investments,720,1363,11760,39573,43955,48415,57703,67355,80383,55276.0
Other Assets,18630,28353,65569,53113,64589,63850,65478,72110,98647,149194.0
Total Assets,19642,30042,78141,93556,109470,113520,124485,140815,180353,205972.0
