,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,-8697,-7570,-11894,-10256,4271,64,-5070,-24029
Cash from Investing Activity,0,-638,-1623,38,-690,-3070,2429,-1446,-2675
Cash from Financing Activity,0,9184,9870,12006,10852,875,-2581,5836,26385
Net Cash Flow,0,-151,678,150,-94,2076,-88,-679,-318
