,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.14,3.86,10.08,12.27,14.86
Expenses,7.85,3.66,8.19,10.28,12.51
Operating Profit,0.29,0.2,1.89,1.99,2.35
OPM %,3.56,5.18,18.75,16.22,15.81
Other Income,0.04,0.0,-0.03,0.04,0.07
Interest,0.01,0.04,0.07,0.23,0.63
Depreciation,0.02,0.08,0.3,0.43,0.20
Profit before tax,0.3,0.08,1.49,1.37,1.59
Tax %,30.0,37.5,26.85,27.01,
Net Profit,0.22,0.05,1.09,1.01,1.11
EPS in Rs,44.0,9.09,30.28,4.51,4.95
