,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.16,1.13,0.53,-7.86
Cash from Investing Activity,-0.24,-0.87,-0.86,-3.17
Cash from Financing Activity,0.34,-0.36,0.44,11.03
Net Cash Flow,-0.06,-0.1,0.11,0.0
