,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,9.17,5.24,7.02,7.84
Expenses,5.68,4.92,5.35,7.16
Operating Profit,3.49,0.32,1.67,0.68
OPM %,38.06,6.11,23.79,8.67
Other Income,0.0,0.0,0.04,0.03
Interest,0.04,0.1,0.33,0.3
Depreciation,0.17,0.19,0.04,0.16
Profit before tax,3.28,0.03,1.34,0.25
Tax %,12.2,-133.33,30.6,28.0
Net Profit,2.88,0.08,0.93,0.18
EPS in Rs,80.0,0.51,4.15,0.8
