,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,-0,1873.0,2336.0,2130.0,2559.0,2711.0,2744.0,2798.0,3000
Expenses,0,1441.0,2066.0,1838.0,2298.0,2451.0,2441.0,2543.0,2660
Operating Profit,-0,432.0,270.0,292.0,262.0,260.0,303.0,255.0,340
OPM %,,23.0,12.0,14.0,10.0,10.0,11.0,9.0,11
Other Income,-0,-2.0,3.0,3.0,5.0,6.0,4.0,9.0,5
Interest,-0,138.0,114.0,97.0,116.0,116.0,88.0,69.0,76
Depreciation,-0,46.0,44.0,44.0,45.0,48.0,51.0,51.0,53
Profit before tax,-0,247.0,114.0,154.0,106.0,101.0,167.0,144.0,217
Tax %,-0,18.0,23.0,22.0,17.0,23.0,26.0,30.0,
Net Profit,-0,203.0,88.0,120.0,89.0,78.0,124.0,100.0,148
EPS in Rs,,101.66,44.08,59.94,44.27,38.75,62.15,50.07,73.86
