,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,10,10,10,20,20,20,20,20.0
Reserves,0,304,381,499,572,646,790,871,953.0
Preference Capital,0,0,54,27,0,0,0,0,
Borrowings,0,1363,1299,1525,1596,1375,1215,1068,662.0
Other Liabilities,0,568,431,575,672,608,405,459,135.0
Total Liabilities,0,2244,2121,2609,2859,2649,2430,2418,1770.0
Fixed Assets,0,988,983,974,966,1085,1077,1165,1144.0
CWIP,0,1,10,4,69,14,9,13,50.0
Investments,0,21,13,12,10,15,47,47,104.0
Other Assets,0,1235,1115,1618,1814,1535,1298,1192,471.0
Total Assets,0,2244,2121,2609,2859,2649,2430,2418,1770.0
