,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.44,1.17,0.39,0.08,0.00,0.17,0.03,0.00,0.0
Expenses,0.48,1.1,1.7,0.98,0.45,0.26,0.36,0.27,0.94,0.96
Operating Profit,-0.48,-0.66,-0.53,-0.59,-0.37,-0.26,-0.19,-0.24,-0.94,-0.96
OPM %,,-150.0,-45.3,-151.28,-462.5,,-111.76,-800.0,,
Other Income,0.18,0.04,0.0,0.12,0.06,0.00,0.0,0.0,0.00,0.0
Interest,0.05,0.12,0.18,0.17,0.18,0.15,0.19,0.19,0.19,0.15
Depreciation,0.24,0.27,0.18,0.23,0.08,0.06,0.04,0.03,0.03,0.03
Profit before tax,-0.59,-1.01,-0.89,-0.87,-0.57,-0.47,-0.42,-0.46,-1.16,-1.1400000000000001
Tax %,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.00,
Net Profit,-0.61,-1.07,-0.89,-0.88,-0.57,-0.47,-0.42,-0.46,-1.16,-1.13
EPS in Rs,-0.63,-1.11,-0.92,-0.91,-0.59,-0.49,-0.44,-0.48,-1.20,-1.16
