,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.09,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.13,0.05,0.04,0.02,0.06,0.08,0.12,0.05,0.05,0.06,0.77,0.05,0.08
Operating Profit,-0.04,-0.05,-0.04,-0.02,-0.06,-0.05,-0.12,-0.05,-0.05,-0.06,-0.77,-0.05,-0.08
OPM %,-44.44,,,,,-166.67,,,,,,,
Other Income,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.06,0.06,0.03,0.03,0.03
Depreciation,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Profit before tax,-0.1,-0.11,-0.09,-0.07,-0.12,-0.11,-0.17,-0.11,-0.12,-0.13,-0.81,-0.09,-0.11
Tax %,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.1,-0.11,-0.10,-0.07,-0.12,-0.11,-0.17,-0.10,-0.12,-0.12,-0.81,-0.09,-0.11
EPS in Rs,-0.1,-0.11,-0.10,-0.07,-0.12,-0.11,-0.18,-0.10,-0.12,-0.12,-0.84,-0.09,-0.11
