,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.65
Reserves,2.13,1.07,-1.48,-1.62,-2.2,-2.56,-2.21,-2.73,4.77,4.23
Borrowings,0.09,1.31,1.08,1.33,0.91,1.36,1.2,1.63,0.93,1.09
Other Liabilities,0.5,0.23,0.26,0.34,0.18,0.41,0.96,0.7000000000000001,0.81,0.85
Total Liabilities,12.67,12.56,9.81,10.0,8.84,9.16,9.9,9.55,16.46,16.12
Fixed Assets,3.62,3.54,3.31,3.08,3.01,2.95,2.91,2.87,2.84,2.83
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,5.42,4.6,2.8200000000000003,3.5,3.54,3.65,4.41,4.35,12.0,11.66
Other Assets,3.63,4.42,3.68,3.42,2.29,2.56,2.58,2.33,1.62,1.63
Total Assets,12.67,12.56,9.81,10.0,8.84,9.16,9.9,9.55,16.46,16.12
