,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,75.0,75.0,75.0,75.0,75.0,75.0,74.68,75.0,75.0
DIIs,1.35,0.01,1.3,1.24,0.01,0.01,0.01,0.01,0.01
Public,23.65,24.99,23.7,23.76,24.99,24.99,25.31,24.99,24.99
No. of Shareholders,6795.0,6800.0,6804.0,6826.0,6830.0,6834.0,6927.0,6946.0,7153.0
