,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.12,0.48,-0.01,0.00,0.2,-0.01,-0.01,0.00,0.00,-0.06,-0.02,2.31,2.31
Expenses,1.18,0.68,0.45,0.46,0.48,0.24,0.22,0.17,4.47,0.32,0.27,2.68,2.52
Operating Profit,-0.06,-0.2,-0.46,-0.46,-0.28,-0.25,-0.23,-0.17,-4.47,-0.38,-0.29,-0.37,-0.21
OPM %,-5.36,-41.67,,,-140.0,,,,,,,-16.02,-9.09
Other Income,10.59,10.32,6.79,5.96,4.37,0.86,13.25,-6.63,0.07,0.00,-0.20,0.4,0.78
Interest,10.88,9.8,6.68,4.12,4.09,0.17,0.00,0.33,0.00,0.00,0.00,0.0,0.00
Depreciation,0.02,0.02,0.02,0.05,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.0,0.00
Profit before tax,-0.37,0.3,-0.37,1.33,-0.01,0.43,13.02,-7.13,-4.40,-0.38,-0.49,0.03,0.57
Tax %,0.0,20.0,18.92,17.29,-100.0,34.88,35.41,-64.66,0.00,0.00,291.84,0.0,
Net Profit,-0.37,0.24,-0.30,1.11,-0.02,0.28,8.41,-11.74,-4.40,-0.39,0.94,0.03,0.06
EPS in Rs,-0.6,0.39,-0.48,1.79,-0.03,0.45,13.56,-18.94,-7.10,-0.63,1.52,0.05,0.09
