,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,5,5,5,5.0,5,5,13,14
Reserves,58,65,108,115,122,,150,163,256,357
Borrowings,68,69,25,60,122,,181,196,177,184
Other Liabilities,24,27,21,23,31,,61,61,107,68
Total Liabilities,154,165,160,202,279,,397,426,553,623
Fixed Assets,50,48,43,44,49,,211,237,228,235
CWIP,9,18,35,66,136,,37,23,67,99
Investments,0,0,0,0,0,,0,0,0,0
Other Assets,96,99,82,92,95,,149,166,258,289
Total Assets,154,165,160,202,279,,397,426,553,623
