,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2014-06-01,2015-03-01,2015-06-01,2019-12-01,2020-09-01
Sales,864.0,615.0,771.0,1266.0,989.0,806.0,1014.0,1549.0,1092.0,352.0,395.0
Expenses,684.0,495.0,601.0,1066.0,928.0,769.0,858.0,1316.0,917.0,476.0,412.0
Operating Profit,181.0,120.0,170.0,200.0,61.0,38.0,156.0,233.0,175.0,-124.0,-17.0
OPM %,21.0,19.0,22.0,16.0,6.0,5.0,15.0,15.0,16.0,-35.0,-4.0
Other Income,-73.0,30.0,-88.0,41.0,5.0,7.0,8.0,11.0,-2.0,11.0,6.0
Interest,103.0,102.0,103.0,104.0,98.0,97.0,99.0,102.0,104.0,103.0,109.0
Depreciation,27.0,27.0,31.0,34.0,34.0,34.0,46.0,44.0,44.0,40.0,41.0
Profit before tax,-23.0,20.0,-52.0,103.0,-65.0,-87.0,19.0,97.0,25.0,-256.0,-160.0
Tax %,27.0,-77.0,40.0,59.0,29.0,25.0,13.0,15.0,19.0,28.0,33.0
Net Profit,-17.0,36.0,-31.0,42.0,-47.0,-65.0,16.0,83.0,20.0,-183.0,-107.0
EPS in Rs,-8.75,18.79,-16.15,21.72,-24.11,-33.7,8.35,42.79,10.58,-94.97,-55.42
