,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.68,16.21,17.24,47.81,53.44,59.79,52.13,43.91,44.74,52.83,44.36
Expenses,9.1,15.0,15.93,45.29,49.44,54.57,46.61,40.26,41.23,48.94,42.14
Operating Profit,0.58,1.21,1.31,2.52,4.0,5.22,5.52,3.65,3.51,3.89,2.22
OPM %,5.99,7.46,7.6,5.27,7.49,8.73,10.59,8.31,7.85,7.36,5.00
Other Income,0.0,0.0,0.0,0.68,0.59,0.18,0.32,-0.07,-0.09,0.01,0.02
Interest,0.04,0.52,0.56,1.34,1.27,1.34,2.24,2.08,2.27,2.29,2.39
Depreciation,0.25,0.09,0.11,0.91,0.93,0.93,2.13,2.21,1.9,1.59,1.67
Profit before tax,0.29,0.6,0.64,0.95,2.39,3.13,1.47,-0.71,-0.75,0.02,-1.82
Tax %,31.03,31.67,34.38,33.68,27.2,27.16,34.69,30.99,24.0,0.0,
Net Profit,0.2,0.4,0.43,0.63,1.74,2.29,0.96,-0.5,-0.57,0.02,-1.54
EPS in Rs,3.33,5.71,6.14,6.3,2.18,2.27,0.95,-0.5,-0.57,0.02,-1.54
