,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.67,72.67,72.67,72.67,72.67,72.67
Public,27.33,27.33,27.33,27.33,27.33,27.32
No. of Shareholders,83.0,112.0,150.0,579.0,609.0,625.0
