,2010-03-01,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.52,0.62,0.62,0.84,6.7,8.38,8.38,8.38,10.06,10.06,10.06
Reserves,0.51,0.92,1.34,5.44,1.31,14.03,14.99,14.55,12.37,12.41,11.47
Borrowings,2.63,3.5,3.35,12.29,12.71,16.79,22.75,24.66,24.22,23.08,22.64
Other Liabilities,0.48,1.63,0.9,8.62,8.26,20.11,13.15,13.1,16.32,9.47,8.12
Total Liabilities,4.14,6.67,6.21,27.19,28.98,59.31,59.27,60.69,62.97,55.02,52.29
Fixed Assets,0.71,0.86,0.88,5.97,5.28,5.06,29.55,27.51,25.45,25.69,25.16
CWIP,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.03,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.43,5.8100000000000005,5.33,21.22,23.7,32.85,29.72,33.18,37.52,29.3,27.13
Total Assets,4.14,6.67,6.21,27.19,28.98,59.31,59.27,60.69,62.97,55.02,52.29
