,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,3.0,9.0,9.0,20.43,20.43,20.43,20.43,20.43,20.43,20.43
Reserves,4.17,7.78,20.8,25.34,42.13,48.08,52.02,38.19,9.23,10.7,3.35
Borrowings,40.04,32.05,43.46,46.84,36.25,42.74,50.05,62.81,70.08,63.91,69.02
Other Liabilities,9.03,14.44,10.11,11.04,5.68,6.01,22.41,7.14,7.11,7.49,5.45
Total Liabilities,56.24,57.27,83.37,92.22,104.49,117.26,144.91,128.57,106.85,102.53,98.25
Fixed Assets,18.64,17.4,16.67,15.81,13.54,11.88,13.09,12.09,9.38,15.68,14.6
CWIP,0.0,0.0,0.0,0.0,0.47,0.5,0.34,3.34,7.23,0.0,0.0
Investments,0.0,0.0,0.01,2.47,0.26,1.01,1.0,0.01,0.01,0.01,0.01
Other Assets,37.6,39.87,66.69,73.94,90.22,103.87,130.48,113.13,90.23,86.84,83.64
Total Assets,56.24,57.27,83.37,92.22,104.49,117.26,144.91,128.57,106.85,102.53,98.25
