,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,697.0,807.0,893.0,696.0,825.0,838.0,898.0,903.0,933.0,967.0,979.0,950.0,994.0
Expenses,635.0,727.0,804.0,620.0,721.0,728.0,778.0,799.0,836.0,852.0,871.0,849.0,893.0
Operating Profit,62.0,80.0,89.0,76.0,105.0,109.0,120.0,104.0,97.0,114.0,108.0,101.0,100.0
OPM %,9.0,10.0,10.0,11.0,13.0,13.0,13.0,12.0,10.0,12.0,11.0,11.0,10.0
Other Income,11.0,-1.0,19.0,8.0,10.0,13.0,17.0,15.0,20.0,17.0,19.0,26.0,32.0
Interest,7.0,6.0,6.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
Depreciation,21.0,23.0,28.0,25.0,26.0,26.0,37.0,29.0,30.0,31.0,31.0,31.0,31.0
Profit before tax,46.0,49.0,74.0,54.0,86.0,94.0,97.0,88.0,85.0,98.0,94.0,94.0,97.0
Tax %,18.0,13.0,11.0,12.0,11.0,12.0,11.0,11.0,14.0,11.0,12.0,11.0,10.0
Net Profit,37.0,43.0,66.0,47.0,76.0,83.0,86.0,79.0,73.0,87.0,82.0,83.0,88.0
EPS in Rs,4.75,5.43,8.38,6.08,9.76,10.6,11.04,10.06,9.33,11.07,10.51,10.6,11.21
