,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,3,16,-12,18,25,-8,17,31,54
Cash from Investing Activity,0,0,0,0,-4,-1,2,9,-55,-15
Cash from Financing Activity,0,1,-14,9,-14,-15,-2,2,-5,-40
Net Cash Flow,0,3,2,-3,-1,8,-8,28,-29,0
