,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,22,22,22,22,22,22,22,21,21
Reserves,0,88,67,72,83,93,93,96,153,139,141
Borrowings,0,31,20,30,17,3,2,5,1,3,4
Other Liabilities,0,13,15,20,21,12,14,12,17,18,11
Total Liabilities,0,133,125,145,143,131,131,135,193,182,178
Fixed Assets,0,25,22,20,22,20,18,16,18,22,21
CWIP,0,0,0,0,0,0,0,0,3,0,0
Investments,0,34,34,34,34,34,34,0,0,0,0
Other Assets,0,74,69,91,87,77,80,119,172,160,156
Total Assets,0,133,125,145,143,131,131,135,193,182,178
