,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.19,14.01,14.57,31.21,29.71,46.4,55.38,37.76,25.85,34.62,36.02,40.24,63.18
Expenses,11.18,11.96,12.05,26.72,23.19,34.85,41.06,32.64,20.82,28.23,31.76,30.1,47.48
Operating Profit,2.01,2.05,2.52,4.49,6.52,11.55,14.32,5.12,5.03,6.39,4.26,10.14,15.70
OPM %,15.24,14.63,17.3,14.39,21.95,24.89,25.86,13.56,19.46,18.46,11.83,25.2,24.85
Other Income,0.23,0.29,1.4,1.1,1.2,0.71,0.95,1.9,3.31,3.06,3.37,5.33,5.56
Interest,1.63,1.5,2.6,4.58,5.66,9.74,12.93,5.74,5.92,7.78,6.27,13.52,19.31
Depreciation,0.1,0.08,0.06,0.04,0.03,0.08,0.09,0.12,0.09,0.14,0.11,0.11,0.31
Profit before tax,0.51,0.76,1.26,0.97,2.03,2.44,2.25,1.16,2.33,1.53,1.25,1.84,1.64
Tax %,31.37,34.21,32.54,36.08,35.47,34.84,33.33,44.83,26.61,24.84,76.0,26.63,
Net Profit,0.35,0.5,0.84,0.61,1.3,1.59,1.5,0.64,1.7,1.14,0.3,1.35,1.17
EPS in Rs,0.07,0.1,0.17,0.12,0.26,0.32,0.3,0.13,0.34,0.23,0.06,0.27,0.23
